job_role,required_skills,skill_count
Software Developer,"Programming, OOP, Data Structures, Algorithms, Git, SQL, Debugging, Testing",8
Software Engineer,"Programming, OOP, Data Structures, Algorithms, Git, Software Design, Testing, Debugging",8
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, REST API, SQL, Git",8
Frontend Developer,"HTML, CSS, JavaScript, Responsive Design, React, Git, REST API, Testing",8
Backend Developer,"Java, Python, Node.js, REST API, SQL, Databases, Git, Authentication",8
Web Developer,"HTML, CSS, JavaScript, Responsive Design, REST API, Git, SEO, Web Security",8
Mobile App Developer,"Mobile Development, Java, Kotlin, Swift, REST API, Git, UI Design, Testing",8
Android Developer,"Kotlin, Java, Android SDK, Android Studio, REST API, SQLite, Git, Material Design",8
iOS Developer,"Swift, SwiftUI, iOS SDK, Xcode, REST API, Core Data, Git, UI Design",8
Java Developer,"Java, OOP, Collections, JDBC, SQL, Spring Boot, REST API, Git",8
Python Developer,"Python, OOP, Data Structures, SQL, REST API, Git, Testing, Debugging",8
.NET Developer,"C#, .NET, ASP.NET, Entity Framework, SQL Server, REST API, Git, OOP",8
PHP Developer,"PHP, HTML, CSS, JavaScript, MySQL, Laravel, REST API, Git",8
React Developer,"JavaScript, React, JSX, HTML, CSS, Redux, REST API, Git",8
Angular Developer,"TypeScript, Angular, HTML, CSS, RxJS, REST API, Git, Testing",8
Node.js Developer,"JavaScript, Node.js, Express.js, REST API, MongoDB, SQL, Git, Authentication",8
Flutter Developer,"Dart, Flutter, Mobile UI, REST API, Firebase, State Management, Git, Testing",8
Embedded Software Developer,"C, C++, Microcontrollers, Embedded Systems, RTOS, Debugging, Git, Electronics",8
AI Engineer,"Python, Machine Learning, Deep Learning, NLP, APIs, TensorFlow, PyTorch, Git",8
Machine Learning Engineer,"Python, Machine Learning, Statistics, Data Preprocessing, Scikit-learn, TensorFlow, Model Evaluation, Git",8
Deep Learning Engineer,"Python, Neural Networks, Deep Learning, PyTorch, TensorFlow, CNN, RNN, GPU Computing",8
NLP Engineer,"Python, NLP, Transformers, Machine Learning, Deep Learning, NLTK, spaCy, Hugging Face",8
Computer Vision Engineer,"Python, OpenCV, Deep Learning, CNN, Image Processing, PyTorch, TensorFlow, Computer Vision",8
Data Scientist,"Python, SQL, Statistics, Machine Learning, Pandas, NumPy, Scikit-learn, Data Visualization",8
Data Analyst,"SQL, Excel, Python, Statistics, Pandas, Data Visualization, Power BI, Tableau",8
